source,target,weight
2619462,4855642,1
2619462,4653658,7
2619462,2477379,1
2619462,1636501,4
2619462,4649091,11
2619462,5321864,1
2619462,5496831,1
2619462,6601232,1
2619462,1479158,1
2619462,3774822,1
2619462,4477210,8
2619462,5689321,5
2619462,5558851,1
2619462,1049916,10
2619462,3744144,5
2619462,4257032,2
2619462,6943340,3
2619462,334073,1
2619462,2557309,22
2619462,5108108,7
2619462,6161682,16
2619462,5282748,3
2619462,5400643,1
2619462,63454,38
2619462,6811369,22
2619462,6085513,2
2619462,3037470,3
2619462,4926043,5
2619462,3381085,4
2619462,259182,2
2619462,6381637,3
2619462,796413,1
2619462,3576958,1
2619462,6942985,1
2619462,3958971,1
2619462,99928,1
2619462,5630793,2
2619462,6130006,11
2619462,1533277,3
2619462,6510670,1
2619462,6243066,21
2619462,7063398,1
2619462,7294726,1
2619462,634386,2
2619462,5282130,221
2619462,5104331,1
2619462,4272024,3
2619462,4061902,10
2619462,5646895,1
2619462,2091300,1
2619462,6641479,2
2619462,4896890,6
2619462,7257820,18
2619462,2539096,43
2619462,4752630,1
2619462,4427583,1
2619462,1857372,4
2619462,2551471,8
2619462,2930731,1
2619462,2230788,1
2619462,1137191,14
2619462,3748906,1
2619462,2848316,2
2619462,5634818,15
2619462,6553287,1
2619462,5954847,6
2619462,3130192,1
2619462,5416044,1
2619462,714207,6
2619462,5073477,1
2619462,4226570,2
2619462,3271074,3
2619462,5717685,1
2619462,5624287,1
2619462,5646146,169
2619462,1504574,4
2619462,1011784,2
212209,5168196,1
294890,2724360,1
6787962,4452909,1
4547411,5976250,1
5548613,6910733,1
5548613,6418106,1
3881664,2949076,1
303943,3723779,1
303943,7049409,1
303943,4075178,1
5197507,5499061,1
5197507,3831362,1
4218817,3155210,1
6539420,3741461,1
6539420,1609182,1
7258241,7213939,1
7258241,3233983,1
3212295,2724360,1
3212295,7014109,1
3658853,2540610,1
3808721,226623,1
6630733,2724360,1
3602040,1427320,1
6670735,205600,1
1240577,118671,1
4816036,226623,1
4457047,6443584,1
4457047,4451725,1
2089686,7340240,1
5118771,7170514,1
2894420,6418106,1
3817677,226623,1
2117555,6407194,2
192884,5976250,1
6695540,5654318,1
6175551,3597088,1
6175551,7106479,1
6175551,5386813,1
6175551,3233983,1
6175551,61061,1
6949171,5856149,1
335312,2724360,1
2534002,1982825,1
7194251,4610555,1
7194251,2423490,1
5406523,2744319,1
5406523,1223723,1
824720,4955506,2
824720,270143,1
1167656,7170514,1
1167656,1533616,1
7207772,4057590,1
2088316,6910733,1
1287487,2504873,1
6939014,3505932,1
6939014,3104348,1
6939014,4329534,1
6939014,3831362,1
6939014,4882957,1
6939014,1544259,1
6939014,4833876,1
6939014,1678057,2
6939014,7001755,1
5822015,3155210,1
5822015,6822974,1
172521,3831362,1
172521,955625,1
172521,5369130,1
172521,4169674,1
611574,6378566,1
5029085,3831362,1
6697377,1930229,1
6803570,6767084,1
6803570,6347972,1
6803570,4347655,1
6803570,5828494,1
6803570,619772,1
6803570,2179645,1
6803570,4019260,1
6803570,1249857,1
6803570,4683373,1
6803570,7320806,1
2049410,1877468,1
1482396,4452909,1
6320384,7340240,1
1214877,2497872,1
1317487,1877468,1
7171159,4818939,1
2186797,3831362,1
1004894,2724360,1
7412580,171963,1
7412580,3649563,2
7327717,226623,1
5962444,6328165,1
7038446,226623,1
2219967,226623,1
5690308,226623,1
66688,7103950,1
5711090,226623,1
4933580,1609182,1
6110553,226623,1
5545938,226623,1
6417293,3707060,1
2944496,226623,1
1664744,226623,1
6142482,721123,1
2625417,226623,1
1312222,5621392,1
1619684,5976250,1
7131257,80558,1
1598335,226623,1
771028,1544259,1
771028,5976250,1
1109928,6418106,1
4715938,205600,1
1099785,5304175,1
1099785,6397652,1
1801032,226623,1
1445069,4818939,1
503950,4452909,1
6707259,4818939,1
1857718,7150797,1
6124105,1992391,1
6548788,226623,1
1813570,226623,1
6310686,6283241,1
3587991,226623,1
4259351,3966135,1
4295174,95216,1
4295174,5933426,1
4613472,5976250,1
403514,2434553,1
6745486,3707060,1
2680593,3707060,1
1215278,5479468,1
3093259,4019155,1
393368,4818939,1
3567475,226623,1
4685960,6660578,1
3757197,1611369,5
