source,target,weight
2619462,6175395,21
2619462,4053387,1
2619462,5413055,33
2619462,5421405,1
2619462,5643535,445
2619462,5399997,4
2619462,1610298,2
2619462,779761,4
2619462,3802229,1
2619462,980149,3
2619462,297358,1
2619462,1507951,3
2619462,2865426,7
2619462,3180376,2
2619462,3995619,3
2619462,1662667,1
2619462,3041777,1
2619462,6085147,5
2619462,5081072,446
2619462,1749951,1
2619462,6472920,3
2619462,599200,1
2619462,4904096,10
2619462,3755884,1
2619462,6263998,1
2619462,5334592,1
2619462,467727,37
2619462,2736142,11
2619462,7184732,5
2619462,1192466,1
2619462,90985,1
2619462,4908828,1
2619462,730183,1
2619462,1666885,5
2619462,6082102,2
2619462,703263,4
2619462,3087255,1
2619462,4825752,1
2619462,464380,34
2619462,4527724,1
2619462,2645845,1
2619462,341590,3
2619462,5190355,1
2619462,7286392,1
2619462,1597167,1
2619462,2320783,2
2619462,7114370,3
2619462,931534,2
2619462,306561,1
2619462,2557309,2
2619462,6480417,5
2619462,831645,18
2619462,5286022,1
2619462,4066332,1
2619462,2686163,1
2619462,3705216,1
2619462,5561438,2
2619462,3564032,1
2619462,932678,1
2619462,2847610,7
2619462,2815199,3
2619462,2899980,1
2619462,82053,1
2619462,2439728,1
2619462,2969562,4
2619462,2105651,1
2619462,5397893,1
2619462,6491447,2
2619462,5777547,4
2619462,3652443,1
2619462,2241001,1
2619462,3641852,1
2619462,6130006,16
2619462,1226743,4
2619462,2912653,1
2619462,5282130,18
2619462,7221487,2
2619462,6694376,136
2619462,4061902,4
2619462,2319882,3
2619462,1141295,9
2619462,4188937,7
2619462,2019645,24
2619462,3830042,1
2619462,3114665,1
2619462,2532400,8
2619462,6992797,2
2619462,2919469,1
5390271,4340126,1
1413682,3233983,1
2057312,1793009,1
2057312,3526598,1
6687603,321246,1
6687603,1965024,1
5853699,4340126,1
918287,3386708,1
1467060,4400314,1
2115375,4340126,1
5502342,1793009,1
828333,4400314,1
828333,3386708,1
468446,4564091,1
53749,7307558,1
53749,2200782,1
1955810,4059245,1
3817677,2345666,1
3817677,1952067,1
2117555,2434553,1
2117555,564144,1
2112207,4300829,1
1307076,3411997,1
2568195,2980347,1
2568195,1767967,1
2568195,2105194,1
2568195,6515586,1
6175551,5308597,1
6175551,7213939,1
6175551,7106479,1
6175551,3233983,1
5177066,20893,1
7025227,2255093,1
2157285,3520517,1
824720,2288757,1
824720,4955506,1
824720,2803641,1
286124,5390687,1
286124,2159101,1
286124,2803641,1
6049249,5473961,1
6939014,7001755,1
6939014,2803641,1
172521,2005064,1
4705732,1637177,1
4705732,346311,2
6697377,3386708,1
6898699,3386708,1
6803570,5839306,1
6803570,6568642,1
6803570,4456348,1
6803570,2179645,1
6803570,697461,1
6803570,1564574,1
6803570,6164542,1
6803570,4414510,1
4435021,1793009,1
3823634,3382913,1
6815471,4340126,1
3020658,4340126,1
3020658,7197630,1
345016,4340126,1
6972959,2803641,2
1517365,5636955,1
5690308,4340126,1
577371,7213939,1
577371,4662420,1
306241,1793009,1
6110553,4341912,1
4991759,3386708,1
4971668,2425331,1
5656146,3198127,1
5656146,1183851,1
1661115,1793009,1
7131257,4444913,1
7131257,2803641,1
2257233,2051037,1
5597799,4400314,1
3523516,4340126,1
3528771,4818939,1
139332,7257532,1
5710593,3386708,1
3177460,3526598,1
956425,2345666,1
2917539,3526598,1
1154795,3386708,1
3025194,3386708,1
5599138,3386708,1
3587991,4340126,1
5357446,3386708,1
403718,4340126,1
403718,3386708,1
4295174,621934,1
4615845,4340126,1
1978198,3386708,1
5137253,4340126,1
3757197,5576871,1
3757197,5687580,1
3757197,2803641,1
7078827,3386708,1
6555954,3107412,1
6684247,2819016,1
4685875,3386708,1
4685875,1793009,1
6081042,4340126,1
5053911,1418013,1
1083484,1793009,1
6830576,4010407,1
6830576,4720573,1
6830576,1824191,1
6830576,3233983,1
3996256,4340126,1
2203540,4340126,1
2203540,7050936,1
6089350,6307473,1
4583854,2128503,1
1617626,3386708,1
1407387,3233983,4
5858290,333983,1
5345770,3386708,1
3894962,3838245,1
2738123,2518057,1
3883041,2994882,1
3010633,3386708,1
674170,5816636,1
6370831,3386708,1
107466,1793009,1
3239539,5531493,1
3239539,4340126,1
3239539,3386708,1
923102,442905,1
7229724,3233983,1
7229724,7197630,1
1983894,2269615,1
5291916,1323969,1
3290570,911100,1
4954518,2803641,1
2609377,7106479,1
2609377,5390790,1
2609377,3233983,1
3709041,7001970,1
3231240,2876913,1
3231240,6234729,1
3231240,1012351,1
3231240,2803641,1
4864491,5071069,1
2838534,4341912,1
5381813,7307558,1
5882191,3126845,1
495545,3386708,1
7336801,1824191,1
2001557,4340126,1
1193449,3386708,1
5772888,3386708,1
3750752,1644168,1
532216,5168196,1
532216,834477,1
4798446,1018199,1
751504,4340126,1
1930738,2974806,1
3775861,4340126,1
3775861,7197630,1
5636169,4756171,1
3695636,6314467,1
3695636,4662420,1
2359050,4340126,1
284782,3479391,1
4993547,4340126,1
499686,4057590,1
1136550,7197630,1
3981100,1329757,1
3981100,6988852,1
3981100,1793009,1
3851415,4340126,1
6482764,2821172,1
4529061,4340126,1
5568542,4340126,1
5359165,3526598,1
4530098,2803641,1
5154402,3386708,1
3434725,3386708,1
1190590,3386708,1
1190590,1793009,1
6083874,1960025,1
6083874,3425507,1
4312981,4340126,1
3836858,4340126,1
4823250,3386708,1
4823250,1793009,1
4823250,3526598,1
2929391,332533,1
397608,5168196,1
5363666,2803641,1
5243848,4662420,1
6398690,5606181,1
5574525,1637177,1
3256363,3261107,1
6335593,4340126,1
3646082,7307558,1
7244200,7324285,1
5766526,3386708,1
7332899,2345666,1
4571255,3163323,1
1842940,2803641,1
1670470,811188,1
3581989,4340126,1
3523760,5380295,1
3523760,3386708,1
5319154,4340126,1
5598989,5598989,3
5598989,3446037,1
5598989,60370,3
5598989,4974729,1
5598989,4455846,1
5598989,5823954,1
5598989,6505108,1
5598989,2803641,1
6467431,5531493,1
6918202,3386708,1
1097171,2803641,1
7300406,5564476,1
6860143,4818939,1
6860143,3386708,1
3088035,2803641,1
1715138,7150607,1
1715138,2707126,1
229050,4340126,1
92360,4340126,1
538816,2821172,1
3720205,4340126,1
4541619,6568553,1
4541619,2731537,1
4965910,3386708,1
1244251,5751587,1
3459444,2504873,1
7182263,4340126,1
4527449,3386708,1
5949879,3386708,1
2150078,2803641,1
3456130,3386708,1
5657362,3917571,1
1363860,3386708,1
27011,911100,1
27011,5464266,1
27011,2632085,1
27011,3411997,1
2158333,3386708,1
1342648,4437124,1
1342648,2260885,1
5249116,5168196,1
5691693,6783210,1
5691693,2803641,1
5634006,7357447,1
2550213,3090735,1
2703020,911100,1
6669340,1793009,1
5598002,7197630,1
3720470,7197630,1
736123,2227116,1
2690949,1793009,1
4228854,7197630,1
1437268,5479468,1
1437268,4910822,2
1437268,6397652,1
1437268,3414043,1
1437268,4566779,1
4846974,2345666,1
6456786,2803641,1
6323965,4340126,1
92548,4400314,1
92548,332533,1
3095321,2819016,1
7298946,4340126,1
2827368,4340126,1
3921254,4340126,1
7212285,3789910,1
6509431,5495513,1
133386,3386708,1
897530,911100,1
6513062,4340126,1
5501705,3411997,1
3636380,3386708,1
5145677,4340126,1
7290862,744165,1
1684523,1644168,1
1684523,7197630,1
2864289,7197630,1
1538345,4340126,1
5838339,7197630,1
4748257,4818939,1
6045806,3426690,1
6788845,1793009,1
4260055,3386708,1
4260055,1793009,1
123762,1793009,1
1698222,7197630,1
6326126,3386708,1
5291956,2545689,1
4525070,7197630,1
3634216,7197630,1
6900863,4662420,1
5010558,3386708,1
647166,5071069,1
1321769,3386708,1
5018079,7197630,1
1912808,3442810,1
2225550,5531493,1
6951947,6122230,1
6377172,7197630,1
7373526,3386708,1
4873693,5625821,1
5020499,4340126,1
6295458,4226140,1
6876011,3386708,1
7093295,1401889,1
5447364,6620851,1
5447364,4340126,1
6708031,1053990,1
6708031,7255205,1
6708031,704575,1
6708031,297258,1
6708031,4317698,1
6708031,5784291,2
6708031,395868,1
6708031,6739525,1
6708031,2111810,2
6708031,6557200,1
6708031,5638001,1
6708031,3233983,1
6708031,3945798,1
6708031,6183520,2
6708031,7328764,1
6708031,6467683,1
6708031,2138361,1
6708031,3925154,1
6708031,5365846,1
6708031,1460582,1
856932,1016535,1
856932,1740829,1
6690721,1793009,1
3895065,4340126,1
7301286,3479391,1
3856435,7025275,1
6350802,332533,1
6090541,4662420,1
4484480,3386708,1
4688824,1637177,1
4688824,2227116,1
4688824,4535459,1
4688824,5245147,1
4688824,1991557,1
4688824,2345666,1
4688824,6221043,1
6891545,4444913,1
1170753,2803641,1
2802083,1319862,1
7140384,332533,1
7140384,3386708,1
2591108,7197630,1
2787466,3386708,1
2787466,3526598,1
4252148,3386708,1
385117,6910733,1
3103278,1415083,1
3437291,2504873,1
3447246,4340126,1
3447246,3386708,1
4856071,7197630,1
1143369,4756171,1
2932270,4340126,1
6093518,4340126,1
3596908,3386708,1
5673671,1793009,1
2620360,4340126,1
7354625,4340126,1
6119145,2489552,1
6119145,699778,1
5829407,3386708,1
4626465,4400314,1
6622716,5507191,1
6622716,4835239,1
6622716,6634568,1
6622716,4052830,1
669151,3386708,1
669151,1793009,1
3310575,61061,1
5634523,3386708,1
4906391,2811356,1
898826,1991557,1
2568254,3386708,1
2568254,1433931,1
5311887,3386708,1
6330183,238577,1
1628837,1793009,1
137717,1572457,1
5465991,911100,1
6682710,4340126,1
617789,4400314,1
4282850,4341912,1
1324795,7050936,1
664748,1793009,1
5114101,3386708,1
1675450,332533,1
7413981,3386708,1
2438596,514845,1
1619190,4340126,1
2468212,1991557,1
523459,1793009,1
2751458,2974806,1
2908945,6988852,1
2354746,7197630,1
1139193,4340126,1
2735031,5531493,1
2735031,4341912,1
1905198,4756171,1
6385411,3386708,1
4086268,6357256,1
2394077,4340126,1
2394077,3386708,1
2184790,4340126,1
2184790,1793009,1
1670364,6088262,1
3130128,4340126,1
1386716,3386708,1
3662827,5480731,1
2004043,3386708,1
4455178,2586605,1
6329986,3934200,1
4109367,3386708,1
3810583,3526598,1
349436,4756171,1
1741212,332533,1
4332597,4620731,1
5514989,512327,1
5514989,3526598,1
2952329,6409127,1
4516013,4340126,1
4516013,3386708,1
4964819,2880047,1
4964819,4340126,1
4964819,901060,1
4428523,4340126,1
3656170,4785309,1
3656170,3514637,1
6941990,4341912,1
6941990,1793009,1
7174072,4340126,1
7174072,3386708,1
2998930,3386708,1
3647231,4340126,1
3622693,6910733,1
1952290,238577,1
1952290,4340126,1
964142,1793009,1
4743703,1157866,1
4168310,4400314,1
6463639,4340126,1
7249531,3386708,1
6095881,6728161,1
6095881,1793009,1
4211223,7197630,1
744998,2425331,1
2361847,4340126,1
433236,1793009,1
3186326,2111000,1
3186326,251623,1
5908009,3386708,1
1578866,3526598,1
4980424,4340126,1
4980424,3386708,1
35313,3479391,1
35313,3386708,1
35313,7050936,1
1258525,3386708,1
4524894,3386708,1
4847093,6988852,1
4847093,3386708,1
5009905,1793009,1
1792313,2425331,1
1792313,6988852,1
1792313,4341912,1
1792313,1793009,1
