source,target,weight
2619462,5139296,1
2619462,5643535,1
2619462,6297849,6
2619462,1565209,1
2619462,6577450,1
2619462,3612658,1
2619462,745101,6
2619462,3291419,2
2619462,5215088,1
2619462,2988609,3
2619462,4561000,12
2619462,1909424,1
2619462,3867274,2
2619462,883989,1
2619462,2927233,2
2619462,7412589,5
2619462,7205331,3
2619462,4844112,1
2619462,5198504,8
2619462,3038344,3
2619462,6782507,219
2619462,3240584,1
2619462,3365876,1
2619462,2552491,4
2619462,5137035,1
2619462,7003462,1
2619462,659791,1
2619462,5891283,6
2619462,1981792,49
2619462,6686384,1
2619462,5778872,1
2619462,2163162,2
2619462,4105713,4
2619462,3651072,2
2619462,6966088,6
2619462,1748491,1
2619462,1666885,2
2619462,4259900,1
2619462,188919,2
2619462,1132509,8
2619462,6657401,30
2619462,1473268,16
2619462,1033292,2
2619462,3677826,1
2619462,2351924,2
2619462,3439119,1
2619462,1438987,3
2619462,2720673,1
2619462,1735525,2
2619462,7263404,1
2619462,2743035,3
2619462,4289263,2
2619462,1470336,5
2619462,1258017,2
2619462,5079950,7
2619462,3742469,29
2619462,4971968,4
2619462,4196799,5
2619462,6175297,1
2619462,5935556,2
2619462,1592236,1
2619462,1614865,1
2619462,2038360,13
2619462,5635673,2
2619462,2881541,1
2619462,2809844,1
2619462,6371167,1
2619462,3276127,2
2619462,2969562,1
2619462,4544482,1
2619462,6703886,1
2619462,3307681,24
2619462,4564516,8
2619462,2906436,1
2619462,1288187,1
2619462,4185291,5
2619462,1719561,1
2619462,3641852,1
2619462,6130006,3
2619462,5112952,3
2619462,6243066,272
2619462,194742,2
2619462,5282130,2
2619462,4061902,73
2619462,7371218,1
2619462,1512803,990
2619462,2539096,417
2619462,1760130,1
2619462,2551471,1
2619462,2211845,1
2619462,5022491,1
2619462,3558115,16
2619462,1289252,7
2619462,4948885,4
2619462,3710127,1
2619462,6083724,15
2619462,2655914,2
2619462,2961656,1
2619462,2685899,1
2619462,2522096,4
2619462,5515667,7
2619462,6346583,1
5196167,4979709,1
5676518,1978202,1
5676518,2376858,1
5676518,2960853,1
5676518,6381738,2
5676518,3137558,2
5676518,127892,1
5676518,1873412,1
5676518,3487086,1
5676518,6533495,1
5676518,7017420,1
5676518,243821,3
5676518,7357447,1
6687603,3525845,1
6687603,7331778,1
6687603,6338552,1
6255508,5625821,1
1118825,227993,1
303943,6336038,1
303943,2571452,2
303943,5759372,1
1527905,3989009,1
6539420,2731537,1
6539420,4313174,1
6350990,3155210,1
1135636,3832292,1
1135636,4209155,1
1135636,6870271,1
7162280,3055839,1
5239487,5894908,1
5212998,3806160,1
753504,5033216,1
1486440,3055839,1
5817073,772402,1
5817073,412284,1
5817073,3233983,1
6586079,3155210,1
6586079,3233983,1
5309045,1372520,1
5986064,4162543,1
6695540,1179699,1
7116558,1319505,1
6175551,4239058,1
6175551,1543506,1
6175551,6378566,1
6175551,3160544,1
6175551,6309179,1
6175551,3233983,2
7338422,2637812,1
7338422,3215575,1
7338422,6276920,1
7338422,947860,1
7087009,1364145,1
7087009,7320806,1
7194251,1372520,1
7194251,5216880,1
7194251,6397652,1
1966454,3137558,1
5940863,3055839,1
5406523,6378566,3
5406523,906414,1
2800633,3312442,1
1168064,5002440,1
824720,6497535,1
824720,4955506,1
824720,4802689,1
6685686,1662612,1
6939014,2325809,1
6939014,541957,1
6939014,1050757,1
6939014,1544259,1
4178050,1372520,1
5822015,3155210,1
5822015,2758433,2
5822015,5530552,1
3585519,1372520,1
611574,6632193,1
6803570,2179645,1
6803570,3041065,1
6803570,3423922,1
6803570,6762416,1
6803570,3826186,1
6803570,6401786,1
2049410,3233983,1
6048303,3155210,1
3257893,3670281,1
3257893,6309179,1
5462319,4836871,1
677307,133955,1
4384773,3055839,1
1542633,3055839,1
5011412,3055839,1
2219967,3155210,1
3917795,3233983,1
6110553,5625821,1
5545938,5083817,1
87798,5219234,1
4991759,3055839,1
147146,3055839,1
1664744,3055839,1
6249351,3055839,1
958262,5763535,1
4481723,3055839,1
2355228,3055839,1
6107437,3055839,1
2917539,5625821,1
496185,2147346,1
1774558,3055839,1
4295174,3155210,1
4295174,1709267,1
4295174,708801,1
4295174,2530000,1
4295174,5891932,1
4295174,2085114,1
4295174,702693,1
4295174,2452586,1
4295174,1824191,1
4295174,5840309,1
4295174,5168196,1
4295174,6585782,2
4295174,3071493,1
4295174,95216,4
4295174,2504873,1
4295174,5530552,1
4295174,6991795,1
4295174,5198504,1
4295174,5996925,1
4295174,3301180,1
403514,6161522,1
1618663,6381738,1
2658734,3055839,1
6289168,2782436,1
393368,598245,1
4685960,6660578,1
4685960,2767553,1
7078827,3155210,1
6815127,3055839,1
4685875,5569134,1
7038166,2612635,1
7400629,3155210,1
4730265,3156627,1
2832266,3818611,1
5534278,598245,1
2097800,559321,1
6830576,2085114,1
2203540,3055839,1
2705451,3055839,1
261979,342845,1
657236,3806160,1
6471711,2289796,1
6471711,2052995,1
6471711,133955,1
1403478,1050757,1
4307134,2874413,1
5363372,3055839,1
1060603,5109215,1
1407387,3670281,1
1407387,1253543,1
1407387,3233983,4
5858290,3519994,1
5883812,2128503,1
1314974,4566779,1
6370831,3055839,1
2869879,3137558,1
1948214,3055839,1
4013063,5813700,1
545054,5033216,1
4248367,4212882,1
4248367,2812140,1
4248367,4617259,1
4248367,746053,1
