source,target,weight
2568195,1767967,2
2568195,7000957,1
2568195,5891283,4
6175551,4753495,1
6175551,6863443,1
6175551,3732595,1
5406523,6378566,1
3825225,6692505,1
3664801,2338903,1
1168064,3670033,1
286124,7357447,1
690413,6318185,1
6939014,4248154,1
6939014,2838628,1
6939014,2954265,1
3214741,7001891,1
5822015,2031439,2
5822015,4645949,1
5822015,6107951,3
3585519,3088409,1
611574,4054846,1
4705732,4979709,2
4705732,1637177,1
4705732,3370153,1
6803570,5277818,1
6803570,4971642,1
6803570,5292671,1
6803570,5495506,1
6803570,5672166,1
766583,5875615,1
6265659,5375539,1
7412580,2557988,1
5690308,6715125,1
4637785,4303481,1
7131257,5324466,1
1598335,6207063,1
958262,6935007,2
911351,2105794,1
7048254,5168196,1
4735789,3961168,1
4295174,395868,1
4295174,3670033,1
4295174,7410821,1
4295174,2493781,1
4295174,95216,2
4295174,5201927,1
4295174,1483046,1
410385,5675643,1
1976564,2338903,1
1215278,2259660,1
3757197,5576871,1
3757197,5687580,1
3757197,6148217,1
3757197,1697608,1
3757197,3245508,1
1210650,3831362,1
1210650,6407194,1
2651596,5755995,1
2651596,4143473,1
5466519,6715125,1
7082063,6715125,1
1633752,6715125,1
5858290,6104921,1
2738123,3831362,1
2869879,5324466,1
4248367,3701225,1
5427182,3957792,1
7229724,556413,1
4925723,7252972,1
4925723,5976250,1
4925723,3616189,1
752404,4000583,1
3290570,818750,1
3290570,5123073,1
6723444,4453433,1
7164673,3858802,1
7164673,61061,1
7164673,2557988,1
7123874,4453433,1
3231240,2813359,1
3231240,1050757,1
3231240,5207996,1
3509908,61061,1
5381813,5112275,1
7353782,4645949,1
5882191,827151,1
3558346,3916766,1
6438176,7145213,1
532216,5168196,1
1819836,1606682,1
7211416,1015398,1
722309,4860925,1
4512622,7414023,1
4512622,2338903,1
3695636,6720666,1
2359050,3961168,1
6288450,3466622,1
1793579,3386708,1
5154402,3118040,1
7181411,1847277,1
417407,4573159,1
