username,rt_count_Labour,rt_count_Conservative,rt_count_Scottish_National_Party,rt_count_Liberal_Democrat,rt_count_Plaid_Cymru,rt_count_Democratic_Unionist_Party,rt_count_Green_Party,party_value,rt_count_total,is_mp
houseofcommons,53,46,25,1,1,0,0,NA,126,FALSE
nsoames,5,121,0,0,0,0,0,Conservative,126,TRUE
dianajohnsonmp,123,0,0,0,0,0,0,Labour,123,TRUE
kevinaschofield,79,27,11,2,2,0,1,NA,122,FALSE
carriesymonds,0,121,0,0,0,0,0,NA,121,FALSE
paulwaugh,91,26,3,1,0,0,0,NA,121,FALSE
sajidjavid,10,106,1,0,0,0,0,Conservative,117,TRUE
peston,85,17,11,2,0,0,0,NA,115,FALSE
joannaccherry,1,0,109,1,4,0,0,Scottish National Party,115,TRUE
yvettecoopermp,108,5,2,0,0,0,0,Labour,115,TRUE
brandonlewis,5,107,1,0,0,1,0,Conservative,114,TRUE
pauljsweeney,110,0,4,0,0,0,0,Labour,114,TRUE
keeleymp,113,0,0,0,0,0,0,Labour,113,TRUE
labour_history,109,0,3,0,0,0,0,NA,112,FALSE
alisonthewliss,7,0,104,0,0,0,0,Scottish National Party,111,TRUE
hendopolis,101,5,1,0,1,0,0,NA,108,FALSE
bbcnews,70,24,9,4,0,0,0,NA,107,FALSE
kevin_maguire,103,2,1,0,1,0,0,NA,107,FALSE
tnewtondunn,46,55,5,1,0,0,0,NA,107,FALSE
guardian,81,11,10,2,1,0,1,NA,106,FALSE
pickardje,83,17,4,2,0,0,0,NA,106,FALSE
stevebakerhw,1,105,0,0,0,0,0,Conservative,106,TRUE
tradegovuk,0,104,1,0,0,0,0,NA,105,FALSE
angusmacneilsnp,3,0,102,0,0,0,0,Scottish National Party,105,TRUE
hackneyabbott,101,2,0,0,0,0,0,Labour,103,TRUE
libdems,15,12,0,74,0,0,0,NA,101,FALSE
halfon4harlowmp,7,94,0,0,0,0,0,Conservative,101,TRUE
