Parent_Location,Region,Topic,Popularity
US,Nebraska,climate_change,47.0
US,Nevada,climate_change,46.0
US,Missouri,climate_change,45.0
US,Oklahoma,climate_change,45.0
US,Texas,climate_change,45.0
US,West Virginia,climate_change,45.0
US,Florida,climate_change,44.0
US,South Carolina,climate_change,44.0
US,Georgia,climate_change,44.0
US,Louisiana,climate_change,44.0
US,Alabama,climate_change,41.0
US,Mississippi,climate_change,40.0
US,Tennessee,climate_change,38.0
UK,Wales,climate_change,100.0
UK,England,climate_change,85.0
UK,Scotland,climate_change,81.0
UK,Northern Ireland,climate_change,67.0
worldwide,Comoros,global_warming,0.0
worldwide,Vanuatu,global_warming,0.0
worldwide,Ecuador,global_warming,100.0
worldwide,Kiribati,global_warming,0.0
worldwide,Niger,global_warming,0.0
worldwide,Haiti,global_warming,0.0
worldwide,Chad,global_warming,0.0
worldwide,Gabon,global_warming,0.0
worldwide,El Salvador,global_warming,74.0
worldwide,Madagascar,global_warming,0.0
worldwide,Congo - Brazzaville,global_warming,0.0
worldwide,Togo,global_warming,0.0
worldwide,Peru,global_warming,64.0
worldwide,Burundi,global_warming,0.0
worldwide,Central African Republic,global_warming,0.0
worldwide,Côte d’Ivoire,global_warming,59.0
worldwide,Mozambique,global_warming,58.0
worldwide,Djibouti,global_warming,0.0
worldwide,Mexico,global_warming,57.0
worldwide,São Tomé & Príncipe,global_warming,0.0
worldwide,Cape Verde,global_warming,0.0
worldwide,Burkina Faso,global_warming,0.0
worldwide,Congo - Kinshasa,global_warming,53.0
worldwide,Cameroon,global_warming,53.0
worldwide,Indonesia,global_warming,49.0
worldwide,Senegal,global_warming,49.0
worldwide,Guatemala,global_warming,48.0
worldwide,Benin,global_warming,0.0
worldwide,Honduras,global_warming,46.0
worldwide,Panama,global_warming,46.0
worldwide,Venezuela,global_warming,45.0
worldwide,St Barthélemy,global_warming,0.0
worldwide,Morocco,global_warming,41.0
worldwide,Nicaragua,global_warming,40.0
worldwide,Thailand,global_warming,40.0
worldwide,Mali,global_warming,0.0
worldwide,Dominican Republic,global_warming,39.0
worldwide,Puerto Rico,global_warming,39.0
worldwide,Colombia,global_warming,38.0
worldwide,Mayotte,global_warming,0.0
worldwide,South Korea,global_warming,37.0
worldwide,Solomon Islands,global_warming,0.0
worldwide,Costa Rica,global_warming,35.0
worldwide,Angola,global_warming,0.0
worldwide,Papua New Guinea,global_warming,0.0
worldwide,Svalbard & Jan Mayen,global_warming,0.0
worldwide,Guinea,global_warming,0.0
worldwide,Oman,global_warming,31.0
worldwide,Bolivia,global_warming,30.0
worldwide,Western Sahara,global_warming,0.0
worldwide,Brazil,global_warming,29.0
worldwide,Algeria,global_warming,28.0
